ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
71334,87.6,20.8,88.3,20.6,83.2,13.4,-,-,12.5,0.0,-,-,77.8,13.6
71336,73.0,8.1,72.9,8.1,71.9,26.0,-,-,-,-,-,-,-,-
71339,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71340,71.6,13.4,71.5,11.0,58.3,3.3,0.0,0.0,-,-,-,-,100.0,0.0
71341,80.5,12.3,80.4,12.4,81.9,6.7,100.0,0.0,33.3,0.0,-,-,75.0,0.0
71342,89.9,23.5,89.5,21.7,75.8,17.7,-,-,100.0,39.6,-,-,80.0,0.0
71343,84.7,22.2,84.7,22.2,66.1,16.4,-,-,0.0,0.0,-,-,-,-
71345,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71346,90.5,26.4,90.5,26.4,78.9,3.7,100.0,0.0,-,-,-,-,100.0,0.0
71350,83.0,6.8,83.0,6.8,79.9,10.6,100.0,0.0,100.0,33.3,-,-,100.0,0.0
71351,84.5,12.6,84.9,12.7,78.8,16.9,64.8,43.0,60.0,60.0,100.0,0.0,53.2,0.0
71353,85.6,7.2,86.7,7.3,90.8,8.6,-,-,-,-,-,-,-,-
71354,90.6,12.5,90.6,12.5,100.0,0.0,100.0,0.0,-,-,-,-,-,-
71355,80.8,19.4,80.8,19.4,75.4,3.4,18.2,0.0,-,-,0.0,0.0,-,-
71356,93.2,4.0,93.2,4.0,36.1,29.1,-,-,-,-,-,-,-,-
71357,69.2,14.1,70.4,14.3,82.9,3.8,-,-,-,-,-,-,0.0,0.0
71358,78.9,31.9,78.7,31.1,58.7,3.7,0.0,0.0,-,-,-,-,-,-
71359,100.0,0.0,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-
71360,90.9,25.7,91.0,25.4,83.1,16.2,100.0,34.1,82.8,28.9,-,-,95.3,13.3
71362,82.5,13.1,82.6,13.1,62.2,62.2,-,-,-,-,-,-,100.0,0.0
71366,89.5,23.6,89.5,23.6,83.3,14.0,-,-,-,-,-,-,-,-
71367,83.6,3.4,83.6,3.4,100.0,55.1,0.0,0.0,-,-,-,-,-,-
71368,67.6,4.6,67.6,4.6,91.6,28.2,-,-,-,-,-,-,0.0,0.0
71369,82.5,8.5,82.5,8.5,64.8,1.5,-,-,-,-,-,-,-,-
71371,81.3,14.7,81.3,14.7,-,-,17.9,0.0,-,-,100.0,0.0,-,-
71373,86.9,19.3,86.9,19.3,82.2,20.0,-,-,0.0,0.0,-,-,100.0,0.0
71375,76.1,13.0,75.3,13.5,78.5,21.3,-,-,100.0,0.0,-,-,0.0,0.0
71378,89.5,15.6,89.5,15.6,72.0,10.4,-,-,-,-,100.0,100.0,-,-
71401,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-
71403,89.1,16.1,89.1,16.1,100.0,0.0,78.4,7.8,64.7,64.7,-,-,100.0,0.0
71404,93.6,13.7,93.6,13.7,51.8,0.0,-,-,100.0,0.0,-,-,-,-
71405,94.8,27.6,94.8,27.7,99.4,2.3,100.0,0.0,100.0,0.0,-,-,0.0,0.0
71406,86.8,0.0,86.8,0.0,-,-,-,-,-,-,-,-,-,-
71407,94.1,26.5,94.1,26.5,100.0,100.0,-,-,-,-,-,-,-,-
71409,89.5,15.6,89.5,15.6,81.4,9.5,100.0,0.0,100.0,100.0,-,-,-,-
71410,85.3,0.0,85.3,0.0,-,-,-,-,-,-,-,-,-,-
71411,68.5,8.4,68.5,8.4,77.1,3.9,81.9,28.9,-,-,-,-,-,-
71414,100.0,0.0,100.0,0.0,84.9,1.1,-,-,-,-,-,-,-,-
71415,77.4,3.2,77.4,3.2,92.8,4.1,-,-,-,-,-,-,-,-
71416,95.0,3.3,95.0,3.3,97.5,8.9,60.0,0.0,-,-,-,-,100.0,7.8
71417,77.8,12.7,78.1,12.8,81.2,9.1,-,-,100.0,0.0,-,-,-,-
71418,74.3,12.1,74.3,12.1,78.8,1.2,-,-,100.0,0.0,-,-,65.6,53.1
71419,93.1,10.7,93.1,10.2,80.0,80.0,68.2,4.5,100.0,0.0,-,-,100.0,0.0
71422,81.7,13.9,81.7,13.9,93.2,0.0,-,-,-,-,-,-,-,-
71423,80.1,13.5,80.1,13.5,62.7,0.0,-,-,-,-,-,-,71.4,0.0
71424,100.0,25.2,100.0,25.2,-,-,-,-,-,-,-,-,-,-
71425,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-
71426,73.3,6.7,73.3,6.7,64.6,14.6,-,-,-,-,-,-,-,-
71427,83.3,0.0,83.3,0.0,-,-,-,-,-,-,-,-,-,-
71428,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71429,92.5,16.3,92.5,16.3,79.1,2.4,40.0,31.4,0.0,0.0,-,-,-,-
71430,87.0,15.6,88.5,17.7,100.0,50.0,50.8,0.0,100.0,100.0,-,-,45.2,0.0
71432,94.9,10.3,94.6,10.7,-,-,-,-,0.0,0.0,-,-,-,-
71433,95.5,13.8,95.7,13.8,66.6,5.1,0.0,0.0,59.3,10.5,100.0,0.0,0.0,0.0
71434,85.7,45.7,85.7,45.7,-,-,-,-,-,-,-,-,-,-
71435,88.6,15.9,88.5,16.0,73.8,19.0,-,-,-,-,-,-,100.0,0.0
71438,75.3,10.4,76.5,10.6,-,-,-,-,-,-,-,-,-,-
71439,84.8,8.9,84.7,8.9,-,-,100.0,0.0,-,-,-,-,-,-
71441,66.7,2.3,66.7,2.3,-,-,-,-,-,-,-,-,-,-
71446,87.5,20.6,88.1,20.7,86.0,22.5,95.1,5.8,69.0,24.1,98.4,40.6,69.3,18.2
71447,90.1,11.4,90.4,11.4,-,-,45.7,0.0,-,-,-,-,33.3,0.0
71449,90.2,18.0,90.2,18.0,83.4,2.0,100.0,68.5,92.9,92.9,-,-,100.0,0.0
