ZIP Code,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic
45213,75.2,49.4,0.0,74.0,-,100.0,76.1,2.7,8.8,-,0.0,-,0.0,2.8
45214,59.0,43.9,89.1,13.0,-,54.9,58.7,12.3,20.0,3.4,0.0,-,0.0,12.5
45215,60.7,57.6,55.6,76.7,100.0,87.8,60.6,3.5,10.9,0.0,0.0,0.0,3.3,3.4
45216,57.6,66.2,-,100.0,-,49.7,57.4,3.2,0.5,-,0.0,-,0.0,3.3
45217,68.7,57.7,-,52.3,-,0.0,68.6,2.5,6.1,-,0.0,-,-,2.5
45218,67.0,48.7,100.0,68.0,-,18.2,66.8,1.5,0.4,0.0,0.0,-,75.0,1.5
45219,62.8,48.3,25.0,55.3,0.0,45.9,63.3,4.8,19.4,75.0,1.9,-,43.9,4.2
45220,66.7,65.7,100.0,58.4,-,37.2,66.5,2.1,7.1,0.0,3.9,-,0.0,2.2
45223,76.4,47.2,0.0,51.9,-,100.0,76.5,4.2,15.8,-,25.9,-,0.0,4.2
45224,52.9,59.6,0.0,40.8,56.3,74.4,52.8,7.2,8.2,-,30.0,0.0,0.0,7.2
45225,43.5,40.3,100.0,16.0,0.0,53.7,44.3,26.7,24.2,0.0,80.0,-,23.7,26.9
45226,78.6,96.9,-,98.2,-,100.0,78.4,2.2,2.1,-,0.0,-,0.0,2.2
45227,69.6,46.2,58.3,87.3,-,0.0,69.5,3.6,5.0,0.0,0.0,-,-,3.6
45229,55.0,44.5,-,82.4,100.0,76.3,56.6,11.6,10.4,-,0.0,0.0,0.0,11.3
45230,66.7,60.2,100.0,70.5,0.0,73.9,66.3,3.5,18.6,0.0,0.0,-,0.0,3.6
45231,58.5,57.6,26.1,62.3,-,55.3,59.0,3.3,6.3,0.0,0.0,-,25.4,3.0
45232,62.5,51.1,-,-,-,45.8,63.0,8.5,23.5,-,-,-,0.0,8.5
45233,63.9,69.8,80.0,46.9,-,100.0,63.9,3.1,0.0,20.0,0.0,-,0.0,3.1
45236,67.5,59.4,100.0,66.3,-,36.4,67.7,2.8,7.3,0.0,0.0,-,51.7,2.9
