STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,County,State,MUAP_counts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rincon Municipio,Puerto Rico,1.0
Iowa,Ringgold County,93.99166666666667,22.775000000000002,94.26666666666667,22.858333333333334,97.6,97.6,100.0,100.0,92.86666666666667,59.53333333333333,100.0,87.5,75.76666666666667,22.233333333333334,53.40833333333333,30.0,50.0,42.96666666666667,100.0,88.33333333333333,53.175000000000004,2.25,24.2,0.0,0.0,0.0,0.0,2.183333333333333,8799.0,701.0,110.0,10.0,47.0,0.0,15.0,0.0,15.0,0.0,251.0,13.0,Ringgold County,Iowa,3.0
New Mexico,Rio Arriba County,87.53,20.733333333333334,95.616,33.964,91.67999999999999,22.1,83.58461538461538,9.761538461538462,84.35714285714286,60.885714285714286,100.0,66.66666666666667,88.04615384615384,17.773076923076925,38.593333333333334,51.2,41.00769230769231,52.17777777777778,100.0,37.330769230769235,34.916,7.425925925925926,8.879999999999999,6.130000000000001,0.0,0.0,5.855555555555556,5.104347826086957,18918.0,1523.0,295.0,2.0,276.0,5.0,8506.0,1792.0,10.0,0.0,12925.0,1236.0,Rio Arriba County,New Mexico,1.0
Colorado,Rio Blanco County,91.9,28.35,93.75,28.875,84.4,50.0,100.0,14.6,94.45,0.0,100.0,45.5,76.03333333333333,0.7000000000000001,68.875,44.1,30.899999999999995,50.0,54.5,61.1,68.925,4.225,0.0,0.0,0.0,0.0,15.666666666666666,4.325,14041.0,2701.0,13.0,0.0,54.0,0.0,173.0,15.0,33.0,0.0,919.0,245.0,,,
Colorado,Rio Grande County,89.24000000000001,28.22,94.1,33.82,92.86666666666667,0.0,86.96000000000001,9.42,92.86666666666667,52.36666666666667,100.0,0.0,74.36,24.98,52.739999999999995,92.86666666666667,44.96,26.2,100.0,43.46,50.9,7.279999999999999,0.0,34.0,0.0,0.0,9.14,6.5,11509.0,1670.0,80.0,24.0,21.0,0.0,295.0,49.0,7.0,0.0,755.0,350.0,Rio Grande County,Colorado,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio Grande Municipio,Puerto Rico,1.0
Indiana,Ripley County,89.92142857142858,17.307142857142857,89.98571428571428,17.3,66.7,0.9,36.1,0.0,78.91666666666667,27.26666666666667,,,80.61666666666666,28.650000000000002,63.41428571428571,24.7375,25.0,71.63333333333334,,40.08571428571429,63.30714285714286,3.292857142857143,5.666666666666667,0.0,0.0,,20.0,3.2785714285714285,77664.0,5776.0,485.0,0.0,764.0,69.0,6.0,6.0,0.0,0.0,601.0,0.0,Ripley County,Indiana,3.0
Missouri,Ripley County,81.26666666666667,11.183333333333335,81.25,11.183333333333335,70.0,0.0,,,73.3,0.0,0.0,0.0,95.45,36.35,44.833333333333336,100.0,0.0,34.8,0.0,0.0,44.78333333333333,2.3000000000000003,0.0,,0.0,,,2.316666666666667,9304.0,1610.0,30.0,0.0,69.0,0.0,14.0,0.0,0.0,11.0,58.0,8.0,Ripley County,Missouri,1.0
West Virginia,Ritchie County,83.3125,10.61875,83.325,10.6625,79.58,20.0,100.0,0.0,63.5,33.333333333333336,,,50.0,0.0,40.98125,42.857142857142854,0.0,96.83333333333333,,70.0,40.95,7.725,0.0,,0.0,,0.0,7.725,22527.0,2058.0,87.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,62.0,26.0,Ritchie County,West Virginia,2.0
California,Riverside County,86.15769230769232,25.18846153846154,92.58076923076923,28.46923076923077,90.17763157894737,25.539473684210527,80.32957746478873,14.859154929577464,88.752,44.27466666666667,81.8896551724138,21.070689655172412,68.95,10.626923076923077,51.83974358974359,49.574999999999996,53.23661971830986,57.11333333333334,56.531666666666666,58.61025641025641,48.65769230769231,6.639743589743589,10.357142857142858,7.4,6.069333333333333,8.031372549019608,8.267532467532467,6.77051282051282,1318643.0,93033.0,157426.0,10786.0,175069.0,10143.0,20104.0,2465.0,8263.0,876.0,534914.0,82013.0,Riverside County,California,117.0
