hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
2258,125,6,0,3,0,4,0,0,0,5,0,53502
1766,27,30,4,19,0,7,0,0,0,22,0,53503
1983,198,0,0,0,0,5,0,0,0,10,0,53504
366,0,0,0,0,0,0,0,0,0,0,0,53505
859,40,28,0,10,0,0,0,0,0,0,0,53506
2203,37,25,0,0,0,0,0,0,0,0,0,53507
5444,128,8,0,29,0,0,0,0,0,32,0,53508
1319,47,0,4,7,0,2,0,0,0,4,0,53510
31285,2088,4928,279,422,87,112,38,8,0,2440,1003,53511
2448,57,3,0,23,0,0,0,0,0,0,0,53515
1969,124,0,0,12,0,0,0,0,0,14,0,53516
1599,69,2,7,97,0,2,0,0,0,17,0,53517
1385,56,6,0,4,2,0,0,0,0,1,2,53518
6318,154,0,0,20,0,10,0,0,0,85,19,53520
3177,91,35,7,12,0,3,0,0,0,49,7,53521
802,60,0,0,0,0,0,0,0,0,0,0,53522
4670,134,40,4,23,3,0,0,0,0,31,0,53523
3480,129,23,19,0,0,2,1,0,0,67,0,53525
508,15,13,0,0,0,0,0,0,0,0,0,53526
9379,143,60,0,605,0,0,0,0,0,26,0,53527
5824,45,6,0,19,0,0,0,0,0,44,0,53528
2218,31,8,0,13,0,0,0,0,0,0,0,53529
3865,460,0,0,29,36,2,0,0,0,4,0,53530
3357,135,138,0,16,0,9,0,0,0,10,0,53531
13955,415,194,31,330,10,1,0,3,0,50,0,53532
6638,127,37,0,105,4,17,0,0,0,27,0,53533
10485,249,40,0,107,0,4,0,0,0,548,83,53534
8494,176,35,0,23,0,5,0,0,0,117,0,53536
809,22,0,0,0,0,0,0,0,0,4,0,53537
16374,414,55,0,30,20,15,0,25,0,302,469,53538
114,7,0,0,0,0,0,0,0,0,0,0,53540
756,45,0,0,0,18,0,6,0,0,0,0,53541
1687,34,14,0,3,0,0,0,0,0,0,0,53543
768,28,0,0,15,0,0,0,0,0,0,0,53544
20264,705,1168,58,321,29,6,3,0,0,61,17,53545
24517,1002,355,21,503,45,46,3,0,0,1066,180,53546
16892,1026,538,32,291,20,25,0,2,0,261,4,53548
8138,321,99,12,26,9,13,0,0,0,417,275,53549
1103,46,0,0,3,0,0,0,0,0,0,0,53550
8524,73,48,0,24,8,116,0,0,0,132,0,53551
587,15,0,0,0,0,1,0,0,0,0,0,53553
697,251,5,0,0,0,0,0,0,0,5,0,53554
8261,49,13,0,122,0,19,0,0,0,5,0,53555
2049,94,6,0,18,0,2,0,0,0,63,23,53556
370,4,3,0,0,0,0,0,0,0,1,0,53557
11635,179,19,0,232,0,8,0,0,0,21,0,53558
4977,392,185,0,187,16,11,0,0,0,33,29,53559
3193,104,0,0,21,0,10,0,0,0,32,2,53560
1709,89,13,11,2,0,0,0,0,0,5,0,53561
22988,611,739,29,2144,20,137,0,0,0,526,77,53562
10516,224,0,0,23,0,5,0,0,0,67,0,53563
4192,159,34,0,3,0,0,0,0,0,37,8,53565
13198,644,154,0,49,2,10,0,0,0,104,45,53566
868,11,2,0,1,22,0,0,0,0,1,0,53569
2475,108,11,0,0,0,2,0,0,0,0,0,53570
68,0,0,0,0,0,0,0,0,0,0,0,53571
9471,191,70,0,111,0,2,0,0,0,9,0,53572
2777,177,5,0,3,0,0,0,0,0,4,0,53573
3800,150,6,0,3,0,10,0,0,0,15,9,53574
15240,345,353,10,426,0,18,0,0,0,43,0,53575
2109,85,15,0,8,0,0,0,0,0,0,0,53576
1196,32,0,0,10,5,0,0,0,0,3,0,53577
5767,30,45,0,2,0,6,0,0,0,65,40,53578
1423,131,13,0,5,0,0,0,0,0,34,15,53579
378,107,0,0,0,0,0,0,0,0,0,0,53580
8536,748,108,0,113,9,2,0,0,0,105,189,53581
1068,36,2,0,21,4,1,0,0,0,9,0,53582
5691,109,0,0,8,0,10,5,0,0,20,16,53583
10,0,0,0,0,0,0,0,0,0,0,0,53584
1653,200,10,3,10,0,26,9,0,0,98,16,53585
1864,175,3,0,6,0,4,0,0,0,7,0,53586
1033,120,35,0,0,0,0,0,0,0,18,3,53587
3397,132,1,0,54,0,12,0,0,0,11,9,53588
18019,463,217,0,132,0,31,3,0,0,112,0,53589
34034,773,2733,102,2671,48,144,0,61,0,476,10,53590
23666,335,360,214,1665,13,101,0,1,0,214,0,53593
4309,158,10,0,28,0,49,0,0,0,34,0,53594
18013,446,274,0,261,45,7,2,175,0,113,6,53597
