STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
South Carolina,Lexington County,89.05000000000001,26.644444444444446,90.32777777777778,27.133333333333333,83.3111111111111,19.572222222222223,74.04705882352941,10.25294117647059,90.00666666666666,51.84666666666667,75.0,25.0,71.1,15.719999999999999,58.477777777777774,59.14444444444444,44.38823529411765,63.46,42.2,64.06,58.21111111111111,5.061111111111111,10.2,3.5461538461538464,4.414285714285714,0.0,4.357142857142857,4.944444444444445,257525.0,24981.0,65631.0,7480.0,6329.0,774.0,1044.0,145.0,211.0,12.0,3266.0,1444.0,Lexington County,South Carolina,21.0
Virginia,Lexington city,90.5,39.9,90.6,39.9,90.4,19.6,100.0,0.0,100.0,51.9,,,100.0,67.2,45.5,51.4,0.0,41.4,,9.4,45.5,1.7,0.0,,0.0,,0.0,1.8,14361.0,687.0,1013.0,52.0,259.0,48.0,14.0,0.0,0.0,0.0,128.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lib,Marshall Islands,1.0
Florida,Liberty County,85.925,20.125,88.025,20.925,48.975,3.825,55.9,0.0,92.3,65.375,0.0,0.0,88.35,36.55,42.225,39.625,71.2,59.375,0.0,40.6,42.575,6.550000000000001,3.0666666666666664,0.0,0.0,,0.0,5.325,12937.0,2415.0,8773.0,1169.0,31.0,0.0,128.0,0.0,11.0,0.0,766.0,204.0,Liberty County,Florida,3.0
Georgia,Liberty County,93.8,16.5,93.775,17.0125,85.2,12.1125,89.53999999999999,18.18,74.98333333333333,21.216666666666665,100.0,10.86,78.88333333333334,12.316666666666668,39.45,38.3875,38.92,40.24285714285714,32.04,43.949999999999996,39.8125,10.771428571428572,12.028571428571428,4.34,16.860000000000003,35.1,0.45999999999999996,10.914285714285715,30654.0,3612.0,24381.0,3051.0,1192.0,147.0,297.0,25.0,185.0,153.0,1702.0,418.0,Liberty County,Georgia,1.0
Montana,Liberty County,85.3,13.366666666666667,84.68333333333334,13.950000000000001,,,,,,,,,,,55.01666666666667,,,,,,54.21666666666667,4.566666666666666,,,,,,4.566666666666666,2464.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberty County,Montana,1.0
Texas,Liberty County,78.27857142857144,11.785714285714286,82.32142857142857,12.342857142857143,77.325,6.741666666666667,88.22857142857143,11.528571428571428,79.43333333333334,34.55,25.0,0.0,43.67,3.2600000000000002,45.82142857142857,47.1,47.07142857142857,69.31666666666666,0.0,62.42,45.042857142857144,7.684615384615385,5.118181818181818,21.259999999999998,2.3,,4.733333333333333,7.8076923076923075,92788.0,23795.0,6429.0,1434.0,508.0,55.0,794.0,28.0,15.0,0.0,5144.0,3402.0,Liberty County,Texas,1.0
Ohio,Licking County,88.35,24.35,88.34333333333333,24.416666666666668,94.44090909090909,22.8,83.58666666666666,5.2733333333333325,84.82777777777778,36.144444444444446,100.0,20.0,84.14999999999999,26.041666666666668,59.56666666666667,61.17727272727273,34.43333333333333,69.82777777777778,80.0,64.86666666666666,59.56333333333334,3.555172413793103,7.378947368421052,27.272727272727273,2.788235294117647,20.0,4.741666666666666,3.555172413793103,313924.0,17744.0,31856.0,2824.0,8909.0,975.0,440.0,71.0,125.0,14.0,2879.0,1158.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likiep,Marshall Islands,1.0
Alabama,Limestone County,88.84285714285714,29.75,89.45714285714287,30.04285714285714,76.26428571428572,25.157142857142855,93.55,29.580000000000002,91.48333333333333,42.949999999999996,66.66666666666667,0.0,70.21111111111111,7.0,57.542857142857144,54.69285714285714,59.38000000000001,54.800000000000004,66.66666666666667,71.98181818181818,57.57857142857143,4.007142857142857,7.046153846153846,7.566666666666666,6.45,0.0,13.209090909090907,3.9785714285714286,106522.0,9883.0,23927.0,1855.0,2264.0,69.0,864.0,170.0,101.0,0.0,1707.0,630.0,Limestone County,Alabama,13.0
Texas,Limestone County,84.1,16.613333333333333,88.05333333333333,18.586666666666666,83.16666666666667,5.991666666666667,84.55,7.1499999999999995,89.06,55.6,66.66666666666667,33.333333333333336,50.375,6.558333333333334,49.78,49.40833333333333,31.78333333333333,80.74,33.333333333333336,67.71666666666667,47.306666666666665,4.6466666666666665,9.008333333333333,5.733333333333333,6.659999999999999,50.0,9.363636363636363,5.493333333333334,27134.0,5769.0,4543.0,673.0,166.0,19.0,412.0,21.0,15.0,55.0,495.0,199.0,Limestone County,Texas,1.0
Arkansas,Lincoln County,87.425,17.5625,88.175,18.25,84.1,14.05,70.34,0.0,93.15,55.775,,,63.666666666666664,10.933333333333332,41.4875,43.725,1.1166666666666667,96.325,,49.333333333333336,41.7,2.475,7.5125,0.0,0.0,,0.0,2.4375,30039.0,1852.0,36828.0,2859.0,530.0,22.0,122.0,28.0,0.0,0.0,507.0,206.0,Lincoln County,Arkansas,1.0
Colorado,Lincoln County,93.08333333333333,23.358333333333334,93.39166666666667,23.46666666666667,93.3,0.39999999999999997,92.85714285714286,2.257142857142857,98.225,27.450000000000003,100.0,0.0,86.6,2.55,53.583333333333336,1.5999999999999999,24.4125,29.21666666666667,100.0,43.9,55.05833333333334,4.6000000000000005,50.0,26.660000000000004,0.0,0.0,2.2666666666666666,3.6666666666666665,8234.0,660.0,8.0,0.0,30.0,4.0,46.0,9.0,15.0,0.0,55.0,20.0,Lincoln County,Colorado,4.0
Georgia,Lincoln County,85.6,18.299999999999997,85.7,18.0,75.55000000000001,7.1,100.0,0.0,,,100.0,0.0,50.0,17.65,50.4,52.8,0.0,,100.0,46.3,50.400000000000006,1.7,3.1999999999999997,,,0.0,0.0,1.5,5491.0,728.0,2497.0,449.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,5.0,Lincoln County,Georgia,1.0
Idaho,Lincoln County,81.45714285714287,15.0,91.27142857142857,17.557142857142857,100.0,100.0,82.5,19.54,96.82000000000001,21.46,100.0,0.0,29.099999999999998,1.2833333333333334,62.271428571428565,100.0,77.52000000000001,60.14,0.0,77.61666666666667,60.15714285714286,4.1,0.0,17.080000000000002,0.0,,2.8166666666666664,4.057142857142858,28523.0,6238.0,22.0,0.0,223.0,21.0,229.0,47.0,41.0,0.0,623.0,206.0,Lincoln County,Idaho,1.0
Kansas,Lincoln County,94.81,24.23,95.09,24.68,93.7,3.12,93.83333333333333,11.1,100.0,0.0,,,54.5,0.0,58.06,18.2,11.1,14.799999999999999,,54.5,58.46,2.63,0.0,83.35,0.0,,0.0,2.6999999999999997,9450.0,606.0,97.0,0.0,38.0,0.0,38.0,27.0,0.0,0.0,11.0,0.0,Lincoln County,Kansas,1.0
Kentucky,Lincoln County,82.96363636363637,12.372727272727273,83.12727272727273,12.454545454545455,49.24285714285714,4.1571428571428575,76.83333333333333,24.516666666666666,38.18,12.440000000000001,100.0,0.0,32.275000000000006,0.975,46.54545454545455,29.9375,49.03333333333333,45.620000000000005,0.0,47.220000000000006,46.49090909090909,5.08,34.58571428571428,0.0,0.0,,1.2,5.0600000000000005,66577.0,4343.0,2625.0,182.0,275.0,78.0,140.0,13.0,0.0,15.0,401.0,179.0,Lincoln County,Kentucky,1.0
Maine,Lincoln County,94.61666666666666,38.46,94.57666666666667,38.43333333333333,70.13333333333334,19.77777777777778,74.02000000000001,22.14,94.14545454545454,59.290909090909096,100.0,0.0,71.42857142857143,22.442857142857143,54.519999999999996,47.40714285714286,40.85454545454545,72.14999999999999,0.0,22.22222222222222,54.50333333333333,2.606896551724138,14.377777777777778,5.557142857142857,0.0,,33.333333333333336,2.651724137931035,61856.0,5979.0,311.0,61.0,552.0,72.0,359.0,4.0,7.0,0.0,99.0,47.0,Lincoln County,Maine,3.0
Minnesota,Lincoln County,92.63636363636364,18.30909090909091,93.27272727272727,18.490909090909092,67.08,0.0,73.33333333333333,0.0,100.0,13.65,,,28.875,3.2,64.9090909090909,50.32,27.485714285714288,88.89999999999999,,79.60000000000001,64.94545454545454,2.1363636363636362,0.0,1.0,0.0,,0.0,2.1363636363636362,14796.0,759.0,127.0,27.0,30.0,0.0,144.0,44.0,0.0,0.0,149.0,49.0,Lincoln County,Minnesota,32.0
